circle_x,circle_y,circle_z,figureEight_x,figureEight_y,figureEight_z,loop_x,loop_y,loop_z,swoop_x,swoop_y,swoop_z,undulate_x,undulate_y,undulate_z,uShape_x,uShape_y,uShape_z
0,2.499808144,1.969028341,0,0.277410658,1.975214516,0,2.451908119,0.489613347,0,0.7512,1.302234733,0,-0.90625,-0.412347495,0,1.032258065,-0.127996848
0,2.490411522,2.218747459,0,0.004438853,1.999993717,0,2.306082042,0.796797742,0,0.7981,1.465534248,0,-0.96875,-0.46,0,1.096774194,-0.030985219
0,2.456131532,2.466280924,0,0,2,0,2.068319751,1.131576141,0,0.845,1.6359605,0,-1.03125,-0.412347495,0,1.161290323,0.084743696
0,2.397310687,2.709155464,0,-0.273058426,2.02400632,0,1.748100079,1.486430142,0,0.8919,1.813513488,0,-1.09375,-0.271221241,0,1.225806452,0.221455387
0,2.314536706,2.944944357,0,-0.535628647,2.095103194,0,1.358189173,1.853390491,0,0.9388,1.998193213,0,-1.15625,-0.042044639,0,1.290322581,0.381544804
0,2.208636639,3.171291678,0,-0.777625312,2.210559783,0,0.914131551,2.224216048,0,0.9857,2.189999674,0,-1.21875,0.266375183,0,1.35483871,0.567536353
0,2.080668606,3.38593584,0,-0.989753302,2.365941388,0,0.433630388,2.59057887,0,1.0326,2.388932871,0,-1.28125,0.642185822,0,1.419354839,0.782083897
0,1.931911219,3.58673219,0,-1.163864758,2.555279782,0,-0.06415825,2.94425124,0,1.0795,2.594992805,0,-1.34375,1.070945088,0,1.483870968,1.027970755
0,1.763850814,3.771674436,0,-1.293272037,2.771302457,0,-0.5593891,3.277290438,0,1.1264,2.808179475,0,-1.40625,1.536176001,0,1.548387097,1.308109705
0,1.578166595,3.938914696,0,-1.373004594,3.005711959,0,-1.032318873,3.582217121,0,1.1733,3.028492882,0,-1.46875,2.02,0,1.612903226,1.625542977
0,1.376713856,4.086781962,0,-1.39999989,3.249504592,0,-1.46409335,3.852183293,0,1.2202,3.255933025,0,-1.53125,2.02,0,1.677419355,1.983442263
0,1.161505449,4.213798792,0,-1.373221034,3.493316253,0,-1.837499045,4.081126097,0,1.2671,3.490499904,0,-1.59375,2.503823999,0,1.741935484,2.385108709
0,0.934691662,4.318696077,0,-1.293696605,3.72778211,0,-2.137649452,4.26390397,0,1.314,3.73219352,0,-1.65625,2.969054912,0,1.806451613,2.833972917
0,0.698538745,4.400425717,0,-1.164481145,3.943896302,0,-2.352578521,4.396412116,0,1.3609,3.981013872,0,-1.71875,3.397814178,0,1.870967742,3.333594948
0,0.455406261,4.458171096,0,-0.990537834,4.13335786,0,-2.473717708,4.475674688,0,1.4078,4.236960961,0,-1.78125,3.773624817,0,1.935483871,3.887664318
0,0.207723507,4.491355243,0,-0.778547854,4.288889544,0,-2.496237577,4.499911618,0,1.4547,4.500034786,0,-1.84375,4.082044639,0,2,4.5
